"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLEXBUS","194913","0.877294","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","195013","0.786496","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","195113","1.682779","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","195213","1.40298","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","195313","0.980726","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","195413","0.910509","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","195513","1.464521","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","195613","1.984106","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","195713","2.174059","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","195813","1.415843","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","195913","1.051257","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","196013","1.02317","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","196113","0.980641","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","196213","1.08291","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","196313","1.356399","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","196413","1.335161","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","196513","1.376486","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","196613","1.350634","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","196713","1.352369","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","196813","1.380367","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","196913","1.534224","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","197013","1.9355","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","197113","1.546119","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","197213","1.530788","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","197301","0.079655","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","197302","0.071118","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","197303","0.092288","1","Coal Exports","Quadrillion Btu"
"CLEXBUS","197304","0.136198","1","Coal Exports","Quadrillion Btu"
